12,12,12,12,12,12,0,12,12,12,12,12,0,12,12,12,0,0,12,12
12,12,12,12,12,0,0,12,12,12,12,12,0,12,12,12,0,0,12,12
12,12,12,12,12,12,12,12,12,0,12,12,0,12,0,12,12,12,12,12
12,12,0,0,0,12,12,12,0,0,0,12,12,12,0,0,12,12,12,12
6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,6,5,5,5,12,12,12,12,12,12,12,12,12,12,5,5,5,5,5
6,6,5,5,5,12,9,9,9,9,9,9,9,9,12,5,5,5,5,5
6,6,5,5,5,12,9,9,9,9,9,9,9,9,12,5,5,5,5,5
6,6,5,5,5,12,9,9,9,9,9,9,9,9,12,5,5,5,5,5
6,6,5,5,5,12,9,9,9,9,9,9,9,9,12,5,5,5,5,5
6,6,5,5,5,12,9,9,9,9,9,9,9,9,12,5,5,5,5,5
6,6,5,5,5,12,9,9,9,9,9,9,9,9,12,5,5,5,5,5
6,6,5,5,5,12,9,9,9,9,9,9,9,9,12,5,5,5,5,5
6,6,5,5,5,12,9,9,9,9,9,9,9,9,12,5,5,5,5,5
6,6,5,5,5,12,5,5,5,5,5,5,5,5,12,5,5,5,5,5
6,6,5,5,5,12,12,12,12,12,12,12,12,12,12,5,5,5,5,5
6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6

